MinCut number | Number of graphs
            7 |               0
            8 |               0
            9 |               0
           10 |               0
           11 |              17
           12 |             131
           13 |             888
           14 |            2559
           15 |            3089
           16 |            2883
           17 |            2309
           18 |            1560
           19 |             919
           20 |             444
           21 |             155
           22 |              38
           23 |               8
           24 |               0
           25 |               0
           26 |               0
           27 |               0
           28 |               0
           29 |               0
           30 |               0
           31 |               0
           32 |               0
           33 |               0
           34 |               0
           35 |               0
           36 |               0
           37 |               0
           38 |               0
           39 |               0
           40 |               0
           41 |               0
           42 |               0
           43 |               0
           44 |               0
           45 |               0
           46 |               0
           47 |               0
           48 |               0
           49 |               0
           50 |               0
           51 |               0
           52 |               0
           53 |               0
           54 |               0
           55 |               0
           56 |               0
