MinCut number | Number of graphs
            8 |               0
            9 |               0
           10 |               0
           11 |               1
           12 |              22
           13 |             139
           14 |             335
           15 |             710
           16 |            2681
           17 |            3671
           18 |            3340
           19 |            2881
           20 |            2205
           21 |            1644
           22 |            1114
           23 |             632
           24 |             338
           25 |             153
           26 |              84
           27 |              29
           28 |              13
           29 |               5
           30 |               3
           31 |               0
           32 |               0
           33 |               0
           34 |               0
           35 |               0
           36 |               0
           37 |               0
           38 |               0
           39 |               0
           40 |               0
           41 |               0
           42 |               0
           43 |               0
           44 |               0
           45 |               0
           46 |               0
           47 |               0
           48 |               0
           49 |               0
           50 |               0
           51 |               0
           52 |               0
           53 |               0
           54 |               0
           55 |               0
           56 |               0
           57 |               0
           58 |               0
           59 |               0
           60 |               0
           61 |               0
           62 |               0
           63 |               0
           64 |               0
           65 |               0
           66 |               0
           67 |               0
           68 |               0
           69 |               0
           70 |               0
           71 |               0
           72 |               0
