MinCut number | Number of graphs
            9 |               0
           10 |               0
           11 |               0
           12 |               0
           13 |               9
           14 |              21
           15 |              51
           16 |             142
           17 |             632
           18 |            2556
           19 |            3485
           20 |            3272
           21 |            2806
           22 |            2123
           23 |            1700
           24 |            1218
           25 |             834
           26 |             507
           27 |             307
           28 |             162
           29 |              80
           30 |              43
           31 |              28
           32 |              14
           33 |              10
           34 |               0
           35 |               0
           36 |               0
           37 |               0
           38 |               0
           39 |               0
           40 |               0
           41 |               0
           42 |               0
           43 |               0
           44 |               0
           45 |               0
           46 |               0
           47 |               0
           48 |               0
           49 |               0
           50 |               0
           51 |               0
           52 |               0
           53 |               0
           54 |               0
           55 |               0
           56 |               0
           57 |               0
           58 |               0
           59 |               0
           60 |               0
           61 |               0
           62 |               0
           63 |               0
           64 |               0
           65 |               0
           66 |               0
           67 |               0
           68 |               0
           69 |               0
           70 |               0
           71 |               0
           72 |               0
           73 |               0
           74 |               0
           75 |               0
           76 |               0
           77 |               0
           78 |               0
           79 |               0
           80 |               0
           81 |               0
           82 |               0
           83 |               0
           84 |               0
           85 |               0
           86 |               0
           87 |               0
           88 |               0
           89 |               0
           90 |               0
